Source,Label,Target
Q102192763,Melkamu Zeleke,http://www.wikidata.org/entity/Q102195849
Q102192763,Xinyu Sun,http://www.wikidata.org/entity/Q102262810
Q102192763,Xiangdong Wen,http://www.wikidata.org/entity/Q102273788
Q102192763,Moa Apagodu,http://www.wikidata.org/entity/Q102292504
Q102192763,Paul Raff,http://www.wikidata.org/entity/Q102354438
Q102192763,Lara Pudwell,http://www.wikidata.org/entity/Q102332366
Q102192763,Arvind Ayyer,http://www.wikidata.org/entity/Q102342902
Q102192763,Thotsaporn Aek Thanatipanonda,http://www.wikidata.org/entity/Q102341887
Q102192763,Eric Samuel Rowland,http://www.wikidata.org/entity/Q102349239
Q102192763,Andrew Michael Baxter,http://www.wikidata.org/entity/Q102375614
Q102192763,Emilie Hogan,http://www.wikidata.org/entity/Q102376228
Q102192763,Brian Koichi Nakamura,http://www.wikidata.org/entity/Q102407189
Q102192763,Kellen Myers,http://www.wikidata.org/entity/Q102431639
Q102192763,Matthew C. Russell,http://www.wikidata.org/entity/Q102442926
Q102192763,Nathaniel Shar,http://www.wikidata.org/entity/Q102442460
Q102192763,Nathan Fox,http://www.wikidata.org/entity/Q102640009
Q102192763,Anthony Zaleski,http://www.wikidata.org/entity/Q102918230
Q102192763,Andrew Lohr,http://www.wikidata.org/entity/Q102924230
Q102192763,Bryan Ek,http://www.wikidata.org/entity/Q102927519
Q102192763,Harry Dym,http://www.wikidata.org/entity/Q5668522
Q96945558,Luca Cardelli,http://www.wikidata.org/entity/Q6695862
Q96945558,Rocco De Nicola,http://www.wikidata.org/entity/Q62559716
Q96945558,Vladimiro Sassone,http://www.wikidata.org/entity/Q62560413
Q96945558,Benjamin C. Pierce,http://www.wikidata.org/entity/Q4888368
Q96945558,Eric Monfroy,http://www.wikidata.org/entity/Q96246783
Q96945558,Massimo Marchiori,http://www.wikidata.org/entity/Q1052782
Q96945558,Moti Yung,http://www.wikidata.org/entity/Q6917668
Q96945558,Lars Arge,http://www.wikidata.org/entity/Q20090142
Q96945558,Irek Ulidowski,http://www.wikidata.org/entity/Q96945562
